"customer_id";"first_name";"last_name";"email";"phone";"password_hash";"created_at"
501;"Bachittar";"Sanghvi";"bachittar.sanghvi.1@gmail.com";"+918454155475";"$2b$10$dummyhash00000000000000000001";"2026-07-24 04:41:09"
502;"Vasudha";"Aurora";"vasudha.aurora.2@gmail.com";"+918482883256";"$2b$10$dummyhash00000000000000000002";"2026-08-11 11:42:09"
503;"Samuel";"Shere";"samuel.shere.3@gmail.com";"+919493188185";"$2b$10$dummyhash00000000000000000003";"2025-04-10 09:30:09"
504;"Vyanjana";"Mall";"vyanjana.mall.4@gmail.com";"+919481581187";"$2b$10$dummyhash00000000000000000004";"2026-03-15 16:38:09"
505;"Naveen";"Banerjee";"naveen.banerjee.5@gmail.com";"+918104901561";"$2b$10$dummyhash00000000000000000005";"2025-09-25 15:56:09"
506;"Vrishti";"Narang";"vrishti.narang.6@gmail.com";"+919202098662";"$2b$10$dummyhash00000000000000000006";"2025-08-22 16:45:09"
507;"Faqid";"Krish";"faqid.krish.7@gmail.com";"+919694363523";"$2b$10$dummyhash00000000000000000007";"2026-04-05 22:49:09"
508;"Jalsa";"Basu";"jalsa.basu.8@gmail.com";"+917638985225";"$2b$10$dummyhash00000000000000000008";"2025-06-21 08:19:09"
509;"Osha";"Dewan";"osha.dewan.9@gmail.com";"+918898951949";"$2b$10$dummyhash00000000000000000009";"2025-12-01 04:00:09"
510;"Isha";"Raj";"isha.raj.10@gmail.com";"+918945752670";"$2b$10$dummyhash00000000000000000010";"2025-10-19 20:48:09"
511;"Oviya";"Mander";"oviya.mander.11@gmail.com";"+916571136778";"$2b$10$dummyhash00000000000000000011";"2025-05-16 10:43:09"
512;"Adweta";"Shan";"adweta.shan.12@gmail.com";"+918634218640";"$2b$10$dummyhash00000000000000000012";"2025-08-07 16:34:09"
513;"Owen";"Mitter";"owen.mitter.13@gmail.com";"+916017416711";"$2b$10$dummyhash00000000000000000013";"2025-12-28 13:59:09"
514;"Janani";"Deol";"janani.deol.14@gmail.com";"+919906651747";"$2b$10$dummyhash00000000000000000014";"2025-10-20 00:48:09"
